model,min connections,accuracy,precision,recall,f1_score
Random Forest,1000,0.9883325230918814,0.99,0.99,0.99
Baseline RNN,1000,0.9693728731161886,0.97,0.97,0.97
Packet CNN-RNN w/D,1000,0.9669421487603306,0.97,0.97,0.97
Payload CNN-RNN w/D,1000,0.9708313077297035,0.97,0.97,0.97
IAT CNN-RNN w/D,1000,0.9693728731161886,0.97,0.97,0.97
Ensemble CNN-RNN w/D,1000,0.9805542051531356,0.98,0.98,0.98
Ensemble RF + CNN-RNN w/D,1000,0.9965969859017987,1.0,1.0,1.0
Random Forest,900,0.9880341880341881,0.99,0.99,0.99
Baseline RNN,900,0.9286324786324787,0.93,0.93,0.93
Packet CNN-RNN w/D,900,0.9555555555555556,0.97,0.96,0.96
Payload CNN-RNN w/D,900,0.9581196581196582,0.97,0.96,0.96
IAT CNN-RNN w/D,900,0.9611111111111111,0.96,0.96,0.96
Ensemble CNN-RNN w/D,900,0.9726495726495726,0.98,0.97,0.97
Ensemble RF + CNN-RNN w/D,900,0.994017094017094,0.99,0.99,0.99
Random Forest,800,0.976158038147139,0.98,0.98,0.98
Baseline RNN,800,0.8848773841961853,0.9,0.88,0.88
Packet CNN-RNN w/D,800,0.8920299727520435,0.91,0.89,0.89
Payload CNN-RNN w/D,800,0.9029291553133515,0.92,0.9,0.9
IAT CNN-RNN w/D,800,0.8692098092643051,0.89,0.87,0.87
Ensemble CNN-RNN w/D,800,0.9182561307901907,0.93,0.92,0.92
Ensemble RF + CNN-RNN w/D,800,0.978882833787466,0.98,0.98,0.98
Random Forest,700,0.9682126107347577,0.97,0.97,0.97
Baseline RNN,700,0.8689421573736321,0.88,0.87,0.87
Packet CNN-RNN w/D,700,0.8895257946847316,0.91,0.89,0.89
Payload CNN-RNN w/D,700,0.8939551849921834,0.91,0.89,0.89
IAT CNN-RNN w/D,700,0.8342886920270974,0.85,0.83,0.82
Ensemble CNN-RNN w/D,700,0.8970818134445023,0.92,0.9,0.9
Ensemble RF + CNN-RNN w/D,700,0.9783741532047942,0.98,0.98,0.98
Random Forest,600,0.9669980960440026,0.97,0.97,0.97
Baseline RNN,600,0.8677808335096255,0.88,0.87,0.86
Packet CNN-RNN w/D,600,0.8722233975037021,0.89,0.87,0.87
Payload CNN-RNN w/D,600,0.8927438121430082,0.91,0.89,0.89
IAT CNN-RNN w/D,600,0.7926803469430929,0.79,0.79,0.78
Ensemble CNN-RNN w/D,600,0.9045906494605458,0.92,0.9,0.9
Ensemble RF + CNN-RNN w/D,600,0.9750370213666173,0.98,0.98,0.97
Random Forest,500,0.9601139601139601,0.96,0.96,0.96
Baseline RNN,500,0.875,0.89,0.88,0.87
Packet CNN-RNN w/D,500,0.8714387464387464,0.89,0.87,0.87
Payload CNN-RNN w/D,500,0.8828347578347578,0.9,0.88,0.88
IAT CNN-RNN w/D,500,0.811965811965812,0.82,0.81,0.8
Ensemble CNN-RNN w/D,500,0.8947649572649573,0.92,0.89,0.89
Ensemble RF + CNN-RNN w/D,500,0.9718660968660968,0.97,0.97,0.97
Random Forest,400,0.9580135440180587,0.96,0.96,0.96
Baseline RNN,400,0.8431903686982694,0.86,0.84,0.84
Packet CNN-RNN w/D,400,0.891497366440933,0.91,0.89,0.89
Payload CNN-RNN w/D,400,0.8898419864559819,0.9,0.89,0.89
IAT CNN-RNN w/D,400,0.7953348382242288,0.8,0.8,0.79
Ensemble CNN-RNN w/D,400,0.9103085026335591,0.92,0.91,0.91
Ensemble RF + CNN-RNN w/D,400,0.9744168547780286,0.98,0.97,0.97
Random Forest,300,0.9507631708517972,0.95,0.95,0.95
Baseline RNN,300,0.8340718857705564,0.85,0.83,0.83
Packet CNN-RNN w/D,300,0.8520433284096505,0.87,0.85,0.85
Payload CNN-RNN w/D,300,0.8583210241260463,0.88,0.86,0.86
IAT CNN-RNN w/D,300,0.7460610536681438,0.76,0.75,0.73
Ensemble CNN-RNN w/D,300,0.8902018709995076,0.9,0.89,0.89
Ensemble RF + CNN-RNN w/D,300,0.9656573116691285,0.97,0.97,0.97
Random Forest,200,0.9386206242292002,0.94,0.94,0.94
Baseline RNN,200,0.7983113556588559,0.83,0.8,0.8
Packet CNN-RNN w/D,200,0.8164310786452899,0.85,0.82,0.82
Payload CNN-RNN w/D,200,0.8119722986433925,0.85,0.81,0.81
IAT CNN-RNN w/D,200,0.7282041552034911,0.77,0.73,0.72
Ensemble CNN-RNN w/D,200,0.852480789298928,0.88,0.85,0.85
Ensemble RF + CNN-RNN w/D,200,0.9520918318945072,0.95,0.95,0.95
Random Forest,100,0.9220708446866485,0.92,0.92,0.92
Baseline RNN,100,0.6247956403269754,0.67,0.62,0.62
Packet CNN-RNN w/D,100,0.7657356948228883,0.82,0.77,0.77
Payload CNN-RNN w/D,100,0.7854904632152588,0.83,0.79,0.78
IAT CNN-RNN w/D,100,0.646117166212534,0.68,0.65,0.63
Ensemble CNN-RNN w/D,100,0.8267029972752044,0.86,0.83,0.83
Ensemble RF + CNN-RNN w/D,100,0.935558583106267,0.94,0.94,0.93